"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"33","LMP3","Lance Willsey","29","1:22.196","40:30.892","Green","Track","11.561","30.042","40.593"
"14","GTD","Aaron Telitz","29","1:22.062","40:48.630","Green","Track","11.522","29.774","40.766"
"28","GTD","Daniel Morad","29","1:22.564","41:02.857","Green","Track","11.723","29.925","40.916"
"55","DPi","Harry Tincknell","32","2:03.560","41:03.187","Green","Track","55.180","29.188","39.192"
"12","GTD","Frankie Montecalvo","29","1:22.824","41:04.626","Green","Track","11.683","29.929","41.212"
"38","LMP3","Dan Goldburg","30","1:20.522","41:07.403","Green","Track","11.162","29.534","39.826"
"74","LMP3","Gar Robinson","30","1:20.685","41:09.408","Green","Track","11.169","29.592","39.924"
"31","DPi","Felipe Nasr","32","1:14.928","41:10.325","Green","Track","10.894","27.205","36.829"
"36","LMP3","Jarett Andretti","30","1:20.556","41:11.915","Green","Track","11.188","29.431","39.937"
"5","DPi","Tristan Vautier","32","1:59.714","41:15.122","Green","Track","51.304","29.379","39.031"
"01","DPi","Kevin Magnussen","32","1:15.231","41:15.508","Green","Track","9.994","27.516","37.721"
"23","GTD","Roman De Angelis","29","1:22.995","41:17.183","Green","Track","11.504","30.076","41.415"
"1","GTD","Madison Snow","29","1:24.090","41:18.854","Green","Track","11.759","30.942","41.389"
