"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"4","GTLM","Tommy Milner","4","1:20.483","6:00.857","Green","Track","4.183","7.108","4.332","8.315","7.490","1.925","0.517","6.979","14.696","14.866","5.540","4.532","158.256"
"15","GTD","Jack Hawksworth","4","1:21.034","6:02.151","Green","Track","4.236","7.222","4.372","8.297","7.620","1.977","0.532","6.828","14.803","14.919","5.664","4.564","153.794"
"14","GTD","Kyle Marcelli","4","1:21.190","6:03.248","Green","Track","4.215","7.252","4.333","8.284","7.624","1.974","0.530","6.946","14.812","15.006","5.695","4.519","154.374"
"86","GTD","Katherine Legge","4","1:22.583","6:06.345","Green","Track","4.239","7.303","4.380","8.387","7.640","1.989","0.535","7.004","15.030","15.595","5.854","4.627","152.931"
"48","GTD","Madison Snow","4","1:22.501","6:06.669","Green","Track","4.310","7.253","4.428","8.358","7.644","1.984","0.533","7.075","14.989","15.339","5.927","4.661","153.505"
"96","GTD","Dillon Machavern","4","1:22.230","6:06.874","Green","Track","4.308","7.316","4.411","8.421","7.494","1.940","0.521","7.193","14.999","15.202","5.878","4.547","157.041"
"93","GTD","Justin Marks","4","1:22.115","6:07.262","Green","Track","4.278","7.318","4.347","8.265","7.593","1.977","0.527","7.123","15.054","15.281","0.000","0.000","155.253"
"58","GTD","Christina Nielsen","4","1:23.983","6:13.112","Green","Track","4.369","7.533","4.504","8.562","7.686","1.996","0.536","7.217","15.379","15.621","5.917","4.663","152.646"
"63","GTD","Cooper MacNeil","4","1:23.966","6:13.327","Green","Track","4.389","7.547","4.492","8.631","7.713","1.996","0.536","7.180","15.379","15.543","5.939","4.621","152.646"
"16","GTD","Michael Schein","4","1:24.222","6:13.906","Green","Track","4.404","7.541","4.453","8.809","7.743","1.997","0.536","7.143","15.394","15.523","6.035","4.644","152.646"
"33","GTD","Ben Keating","4","1:24.118","6:14.151","Green","Track","4.369","7.623","4.451","8.697","7.670","1.986","0.533","7.372","15.403","15.418","5.962","4.634","153.505"
"44","GTD","John Potter","4","1:24.167","6:14.623","Green","Track","4.359","7.505","4.491","8.632","7.855","2.017","0.540","7.177","15.389","15.475","5.971","4.756","151.515"
"75","GTD","Kenny Habul","4","1:24.235","6:14.872","Green","Track","4.402","7.576","4.437","8.718","7.735","1.999","0.535","7.436","15.456","15.384","5.779","4.778","152.931"
"7","P","Helio Castroneves","5","1:14.761","6:44.614","Green","Track","3.823","6.267","4.025","7.754","6.922","1.808","0.487","6.749","13.840","13.604","5.303","4.179","168.004"
"6","P","Dane Cameron","5","1:14.787","6:45.144","Green","Track","3.842","6.239","4.006","7.888","6.890","1.801","0.486","6.649","13.909","13.610","5.223","4.244","168.350"
"77","P","Oliver Jarvis","5","1:14.561","6:45.739","Green","Track","3.839","6.350","4.023","7.861","6.967","1.832","0.494","6.596","13.792","13.429","5.164","4.214","165.624"
"55","P","Jonathan Bomarito","5","1:14.724","6:46.492","Green","Track","3.827","6.346","4.057","7.990","6.939","1.829","0.494","6.598","13.717","13.517","5.206","4.204","165.624"
"10","P","Renger Van Der Zande","5","1:15.306","6:48.743","Green","Track","3.919","6.485","4.092","7.849","7.089","1.858","0.499","6.677","13.648","13.664","5.303","4.223","163.964"
"5","P","Joao Barbosa","5","1:15.098","6:50.047","Green","Track","3.882","6.355","3.976","7.873","7.038","1.840","0.496","6.654","13.734","13.755","5.235","4.260","164.956"
"52","P","Gustavo Yacaman","5","1:14.995","6:50.833","Green","Track","3.856","6.491","3.957","7.690","6.929","1.815","0.487","6.559","13.955","13.731","5.244","4.281","168.004"
"99","P","Misha Goikhberg","5","1:15.133","6:51.532","Green","Track","3.822","6.489","3.955","7.914","6.886","1.790","0.480","6.677","13.876","13.714","5.312","4.218","170.455"
"38","P","James French","5","1:15.502","6:54.049","Green","Track","3.833","6.331","4.037","7.995","6.937","1.795","0.483","6.874","13.961","13.674","5.378","4.204","169.396"
"31","P","Eric Curran","5","1:15.712","6:54.765","Green","Track","3.871","6.466","4.122","7.954","7.063","1.839","0.496","6.729","13.881","13.687","5.247","4.357","164.956"
"22","P","Johannes van Overbeek","5","1:24.683","7:04.401","Green","Pit","3.847","6.470","4.013","8.015","6.937","1.806","0.486","6.738","14.316","14.104","6.755","11.196","168.350"
"54","P","Jonathan Bennett","5","1:18.715","7:11.647","Green","Track","3.940","6.660","4.117","8.256","6.990","1.807","0.485","6.939","14.929","14.586","5.541","4.465","168.697"
"2","P","Scott Sharp","5","1:27.530","7:14.471","Green","Pit","3.962","6.780","4.180","8.207","7.017","1.836","0.494","6.946","15.414","14.865","7.039","10.790","165.624"
"911","GTLM","Nick Tandy","5","1:19.614","7:14.410","Green","Track","4.142","6.985","4.281","8.238","7.411","1.942","0.525","6.845","14.578","14.692","5.507","4.468","155.844"
"85","P","Robert Alon","5","1:17.195","7:14.509","Green","Track","3.916","6.796","4.053","8.187","6.962","1.809","0.489","6.973","14.364","13.977","5.368","4.301","167.317"
"912","GTLM","Earl Bamber","5","1:19.866","7:15.456","Green","Track","4.182","6.999","4.352","8.149","7.449","1.953","0.523","6.904","14.482","14.899","5.504","4.470","156.440"
"25","GTLM","Alexander Sims","5","1:20.321","7:16.523","Green","Track","4.097","7.076","4.293","8.235","7.393","1.924","0.516","7.256","14.793","14.728","5.584","4.426","158.562"
"3","GTLM","Antonio Garcia","5","1:20.181","7:16.971","Green","Track","4.143","7.002","4.441","8.307","7.447","1.927","0.517","6.871","14.699","14.812","5.514","4.501","158.256"
